,f_classif,mutual_info
Cell Internal Power (mW),20.212712862087674,0.010648834089649117
Net Switching Power (mW),14.465353659587132,0.584348127928705
Clock_Network Switching Power,12.195312866672896,0.01594508549475071
Sequential Leakage Power,11.708178457421502,0.004746681518613238
Sequential Internal Power,10.914796808708351,0.014418519650207795
Number of ports,9.131878514576577,0.2069671205124488
Cell Leakage Power (mW),6.420241408588351,0.016572339567283878
Number of references,5.6372603399391075,0.45748303954086933
Number of sequential cells,1.1525166976900758,0.5701784124624658
